Name           Chip  XDISP  ECH   XDAng   Deck  Rbin  Cbin   IOrder EOrder
adrd97-12.fits    1 RED97  0.220 -0.6385 C5 1 2 58 96
adrd97-13.fits    1 RED97 -0.250 -0.6750 C1 1 2 59 97
adrd97-14.fits    1 RED97 -0.250 -0.6750 C1 1 2 59 97
adrd97-15.fits    1 RED97  0.250 -0.6615 C1 1 2 59 97
adrd97-16.fits    1 RED97  0.250 -0.6615 C1 1 2 59 97
adrd97-17.fits    1 RED97  0.085  0.0305 C1 1 2 51 78
adrd97-18.fits    1 RED97  0.085  0.0305 C1 1 2 51 78
adrd97-19.fits    1 RED97 -1.146  1.3970 C2 1 2 41 55
adrd97-20.fits    1 RED97 -1.146  1.3970 C2 1 2 41 55
adrd97-21.fits    1 RED97 -0.880  1.5075 C2 1 2 40 54
adrd97-22.fits    1 RED97 -0.880  1.5075 C2 1 2 40 54
adrd97-23.fits    1 RED97  0.880  1.5675 C2 1 2 40 54
adrd97-24.fits    1 RED97  0.880  1.5675 C2 1 2 40 54
adrd97-25.fits    1 RED97  0.577  0.4730 C2 1 2 48 69
adrd97-26.fits    1 RED97 -0.394 -0.2310 C1 1 2 54 84
adrd97-27.fits    1 RED97  0.370 -0.2125 C1 1 2 54 84
adrd97-28.fits    1 RED97  0.107  0.0315 C1 1 2 51 78
adrd97-29.fits    1 RED97 -1.126  1.3490 C2 1 2 41 56
adrd97-30.fits    1 RED97 -0.257 -0.6310 C1 1 2 58 95
adrd97-31.fits    1 RED97  0.291 -0.6195 C1 1 2 58 95
adrd97-32.fits    1 RED97 -0.553  0.2810 C2 1 2 49 72
adrd97-33.fits    1 RED97 -0.687 -0.3790 C1 1 2 55 87
adrd97-34.fits    1 RED97 -0.821  1.3835 C2 1 2 41 55
adrd97-35.fits    1 RED97 -0.821  1.3835 C2 1 2 41 55
adrd97-36.fits    1 RED97  0.544  0.3180 C2 1 2 49 72
adrd97-37.fits    1 RED97  0.902  1.4420 C2 1 2 41 55
adrd97-38.fits    1 RED97  0.902  1.4420 C2 1 2 41 55
adrd97-39.fits    1 RED97  0.150 -0.7495 B2 1 2 60 100
adrd97-40.fits    1 RED97  0.150 -0.7495 B2 1 2 60 100
adrd97-41.fits    1 RED97  0.250 -0.4185 C1 1 2 56 89
adrd97-42.fits    1 RED97  0.250 -0.4185 C1 1 2 56 89
adrd97-43.fits    1 RED97  0.370  1.0655 C2 1 2 43 60
adrd97-44.fits    1 RED97  0.370  1.0655 C2 1 2 43 60
adrd97-45.fits    1 RED97  0.500  0.2990 C2 1 2 49 72
adrd97-46.fits    1 RED97  0.500  0.2990 C2 1 2 49 72
adrd97-47.fits    1 RED97  0.690  0.7885 C2 1 2 45 64
adrd97-48.fits    1 RED97  0.690  0.7885 C2 1 2 45 64
adrd97-49.fits    1 RED97 -0.150 -0.7490 B2 1 2 60 100
adrd97-50.fits    1 RED97 -0.150 -0.7490 B2 1 2 60 100
adrd97-51.fits    1 RED97 -0.280 -0.6800 C1 1 2 59 97
adrd97-52.fits    1 RED97 -0.280 -0.6805 C1 1 2 59 97
adrd97-53.fits    1 RED97 -0.480  0.2710 C2 1 2 49 72
adrd97-54.fits    1 RED97 -0.480  0.2710 C2 1 2 49 72
adrd97-55.fits    1 RED97 -0.690  0.7495 C2 1 2 45 64
adrd97-56.fits    1 RED97 -0.690  0.7495 C2 1 2 45 64
adrd97-57.fits    1 RED97 -0.339 -0.3795 C1 1 2 55 88
adrd97-58.fits    1 RED97  0.357 -0.3805 C1 1 2 56 88
adrd97-59.fits    1 RED97 -0.183 -0.8330 A11 1 2 61 103
adrd97-60.fits    1 RED97 -0.183 -0.8330 A11 1 2 61 103
adrd97-61.fits    1 RED97  0.037 -0.8710 A11 1 2 62 105
adrd97-62.fits    1 RED97  0.037 -0.8710 A11 1 2 62 105
adrd97-63.fits    1 RED97  0.288 -0.9190 A11 1 2 62 107
adrd97-64.fits    1 RED97  0.288 -0.9190 A11 1 2 62 107
adrd97-65.fits    1 RED97  0.000  1.7320 A12 1 2 39 52
adrd97-66.fits    1 RED97 -1.032  0.8090 A12 1 2 44 63
adrd97-67.fits    1 RED97  1.032  0.8090 A12 1 2 45 64
adrd97-68.fits    1 RED97  1.032  2.7035 A12 1 2 39 44
adrd97-69.fits    1 RED97  0.310  0.6085 C5 1 2 46 67
adrd97-70.fits    1 RED97  0.310  0.6085 C5 1 2 46 67
adrd97-71.fits    1 RED97 -0.056 -0.5175 C5 1 2 57 92
adrd97-72.fits    1 RED97 -0.056 -0.5175 C5 1 2 57 92
