|           Name | Chip | XDISP |         ECH |       XDAng | Deck | Rbin | Cbin | IOrder | EOrder |
|   adrd-56.fits |    1 |   RED |  0.60008687 |  1.63900006 |   C2 |    1 |    2 |     40 |     53 |
|   adrd-57.fits |    1 |   RED | -0.79996079 |  1.63900006 |   C2 |    1 |    2 |     39 |     53 |
|   adrd-58.fits |    1 |   RED |  0.80000305 |  1.63900006 |   C2 |    1 |    2 |     40 |     53 |
|   adrd-59.fits |    1 |   RED |   4.228e-05 |  1.93850005 |   C2 |    1 |    2 |     38 |     50 |
|   adrd-60.fits |    1 |   RED | -0.19995849 |  1.93850005 |   C2 |    1 |    2 |     38 |     50 |
|   adrd-61.fits |    1 |   RED |   0.1999162 |  1.93850005 |   C2 |    1 |    2 |     38 |     50 |
|   adrd-62.fits |    1 |   RED | -0.39995924 |  1.93850005 |   C2 |    1 |    2 |     38 |     50 |
|   adrd-63.fits |    1 |   RED |  0.39995924 |  1.93850005 |   C2 |    1 |    2 |     38 |     50 |
|   adrd-64.fits |    1 |   RED | -0.60000229 |  1.93850005 |   C2 |    1 |    2 |     38 |     50 |
|   adrd-65.fits |    1 |   RED |  0.60000229 |  1.93850005 |   C2 |    1 |    2 |     38 |     50 |
|   adrd-66.fits |    1 |   RED | -0.80000305 |  1.93850005 |   C2 |    1 |    2 |     38 |     50 |
|   adrd-67.fits |    1 |   RED |  0.79996079 |  1.93850005 |   C2 |    1 |    2 |     38 |     50 |
|   adrd-68.fits |    1 |   RED | -1.00000381 |  1.93850005 |   C2 |    1 |    2 |     38 |     50 |
|   adrd-69.fits |    1 |   RED |  1.00000381 |  1.93850005 |   C2 |    1 |    2 |     38 |     50 |
|   adrd-70.fits |    1 |   RED |         0.0 |  2.28800011 |   C2 |    1 |    2 |     36 |     47 |
|   adrd-71.fits |    1 |   RED | -0.20004305 |  2.28800011 |   C2 |    1 |    2 |     36 |     47 |
|   adrd-72.fits |    1 |   RED |   0.1999162 |  2.28800011 |   C2 |    1 |    2 |     36 |     47 |
|   adrd-73.fits |    1 |   RED | -0.39991698 |  2.28800011 |   C2 |    1 |    2 |     36 |     47 |
|   adrd-74.fits |    1 |   RED |  0.39995924 |  2.28800011 |   C2 |    1 |    2 |     36 |     47 |
|   adrd-75.fits |    1 |   RED | -0.59996003 |  2.28800011 |   C2 |    1 |    2 |     36 |     47 |
|   adrd-76.fits |    1 |   RED |  0.60000229 |  2.28800011 |   C2 |    1 |    2 |     36 |     47 |
|   adrd-77.fits |    1 |   RED | -0.79991847 |  2.28800011 |   C2 |    1 |    2 |     36 |     47 |
|   adrd-78.fits |    1 |   RED |  0.80000305 |  2.28800011 |   C2 |    1 |    2 |     36 |     47 |
|   adrd-79.fits |    1 |   RED | -1.00004613 |  2.28800011 |   C2 |    1 |    2 |     36 |     47 |
|   adrd-80.fits |    1 |   RED |  1.00000381 |  2.28800011 |   C2 |    1 |    2 |     36 |     47 |
