# wave                 flux                
  4146.8479273630455   -5330.63134765625   
  4147.165220989815    -5696.82763671875   
  4147.482514616584    -5411.89208984375   
  4147.799808243353    -4273.34326171875   
  4148.117101870123    -3788.671630859375  
  4148.434395496893    -5218.27880859375   
  4148.751689123662    -4939.71728515625   
  4149.068982750431    -4501.876953125     
  4149.3862763772      -4623.85400390625   
  4149.7035700039705   -5354.79833984375   
  4150.02086363074     -5148.02294921875   
  4150.338157257509    -4568.236328125     
  4150.655450884278    -5115.45263671875   
  4150.972744511048    -4942.03125         
  4151.290038137818    -5586.16162109375   
  4151.607331764587    -6467.09814453125   
  4151.924625391356    -5358.345703125     
  4152.241919018126    -5382.48486328125   
  4152.5592126448955   -5919.4609375       
  4152.876506271665    -5573.93310546875   
  4153.193799898434    -4681.154296875     
  4153.511093525203    -4366.8701171875    
  4153.828387151973    -4298.09765625      
  4154.145680778743    -5227.64697265625   
  4154.462974405512    -4649.02392578125   
  4154.780268032281    -4428.587890625     
  4155.097561659051    -4725.05029296875   
  4155.4148552858205   -4407.5205078125    
  4155.73214891259     -4535.31103515625   
  4156.049442539359    -4492.044921875     
  4156.366736166128    -5230.90966796875   
  4156.684029792898    -3872.670166015625  
  4157.001323419668    -4154.12451171875   
  4157.318617046437    -4582.3828125       
  4157.635910673206    -4854.84716796875   
  4157.953204299976    -4347.12353515625   
  4158.2704979267455   -4025.541748046875  
  4158.587791553515    -4643.85302734375   
  4158.905085180284    -4491.015625        
  4159.222378807054    -4489.47607421875   
  4159.539672433823    -5630.1689453125    
  4159.856966060593    -5736.43701171875   
  4160.174259687362    -5268.4912109375    
  4160.491553314131    -5243.6953125       
  4160.808846940901    -3928.6494140625    
  4161.1261405676705   -3101.1181640625    
  4161.44343419444     -4135.50732421875   
  4161.760727821209    -4377.03369140625   
  4162.078021447979    -3833.40478515625   
  4162.395315074748    -4036.245849609375  
  4162.712608701518    -4892.53466796875   
  4163.029902328287    -4254.927734375     
  4163.347195955057    -4094.803466796875  
  4163.664489581826    -4389.40283203125   
  4163.9817832085955   -4104.07275390625   
  4164.299076835365    -4688.5908203125    
  4164.616370462134    -4440.57421875      
  4164.933664088904    -4288.439453125     
  4165.250957715673    -6134.0712890625    
  4165.568251342443    -4743.0625          
  4165.885544969212    -5253.33154296875   
  4166.202838595982    -3732.79052734375   
  4166.520132222751    -3740.263671875     
  4166.8374258495205   -4860.5908203125    
  4167.15471947629     -5606.201171875     
  4167.472013103059    -5006.501953125     
  4167.789306729829    -4876.93408203125   
  4168.106600356598    -5180.32666015625   
  4168.423893983368    -4336.65185546875   
  4168.741187610137    -4597.64453125      
  4169.058481236907    -5710.43994140625   
  4169.375774863676    -5250.19677734375   
  4169.6930684904455   -4170.173828125     
  4170.010362117215    -4835.7763671875    
  4170.327655743985    -5625.64697265625   
  4170.644949370754    -5099.83935546875   
  4170.962242997523    -4685.6103515625    
  4171.279536624293    -3695.852783203125  
  4171.596830251062    -3495.256591796875  
  4171.914123877832    -3957.947021484375  
  4172.231417504601    -5008.49462890625   
  4172.5487111313705   -4241.73291015625   
  4172.86600475814     -4128.54296875      
  4173.18329838491     -4876.6767578125    
  4173.500592011679    -4338.20849609375   
  4173.817885638448    -4433.56298828125   
  4174.135179265218    -3987.9404296875    
  4174.452472891988    -2680.371337890625  
  4174.769766518757    -4211.46337890625   
  4175.087060145526    -3772.510986328125  
  4175.4043537722955   -3245.941650390625  
  4175.721647399065    -3306.715087890625  
  4176.038941025835    -4523.53369140625   
  4176.356234652604    -4207.416015625     
  4176.673528279373    -5356.88525390625   
  4176.990821906143    -4634.7841796875    
  4177.308115532913    -3986.738525390625  
  4177.625409159682    -4669.33837890625   
  4177.942702786451    -4730.38330078125   
