# wave                 flux               
  5412.055689554521    -20553.9296875     
  5412.376763296082    -20128.90234375    
  5412.697837037642    -20317.51953125    
  5413.018910779202    -20233.005859375   
  5413.339984520762    -20144.923828125   
  5413.6610582623225   -20191.587890625   
  5413.982132003884    -20066.47265625    
  5414.303205745444    -20336.525390625   
  5414.624279487004    -20166.85546875    
  5414.945353228564    -20044.80078125    
  5415.2664269701245   -20030.203125      
  5415.587500711685    -20111.599609375   
  5415.908574453245    -19528.416015625   
  5416.229648194805    -19737.017578125   
  5416.550721936365    -19883.361328125   
  5416.871795677926    -19755.890625      
  5417.192869419486    -19971.8359375     
  5417.513943161046    -19695.5546875     
  5417.835016902606    -19618.640625      
  5418.156090644166    -19637.236328125   
  5418.477164385727    -19414.646484375   
  5418.798238127287    -19583.873046875   
  5419.119311868847    -19608.548828125   
  5419.440385610407    -19338.087890625   
  5419.7614593519675   -19201.654296875   
  5420.082533093528    -19513.267578125   
  5420.403606835088    -19473.501953125   
  5420.724680576648    -19087.26953125    
  5421.045754318208    -19226.28125       
  5421.3668280597685   -18937.080078125   
  5421.687901801329    -19116.572265625   
  5422.008975542889    -18941.55859375    
  5422.330049284449    -18874.931640625   
  5422.651123026009    -19187.7890625     
  5422.97219676757     -19123.53515625    
  5423.29327050913     -19135.9140625     
  5423.61434425069     -19052.146484375   
  5423.93541799225     -18990.265625      
  5424.25649173381     -18649.720703125   
  5424.577565475371    -18943.677734375   
  5424.898639216931    -19049.9375        
  5425.219712958491    -18686.58203125    
  5425.540786700051    -18928.787109375   
  5425.8618604416115   -18466.81640625    
  5426.182934183172    -18733.416015625   
  5426.504007924732    -19074.818359375   
  5426.825081666292    -18677.615234375   
  5427.146155407852    -18612.82421875    
  5427.467229149413    -18750.84765625    
  5427.788302890973    -18498.26171875    
  5428.109376632533    -18604.6484375     
  5428.430450374093    -18356.61328125    
  5428.751524115653    -18082.095703125   
  5429.072597857214    -18469.998046875   
  5429.393671598774    -18774.6484375     
  5429.714745340334    -18688.263671875   
  5430.035819081894    -18529.88671875    
  5430.3568928234545   -18428.421875      
  5430.677966565015    -18355.58203125    
  5430.999040306575    -18349.220703125   
  5431.320114048135    -18145.26953125    
  5431.641187789695    -18353.470703125   
  5431.9622615312555   -18265.689453125   
  5432.283335272816    -18105.623046875   
  5432.604409014376    -17853.1796875     
  5432.925482755936    -17731.25390625    
  5433.246556497496    -18248.451171875   
  5433.567630239057    -18070.837890625   
  5433.888703980617    -18114.85546875    
  5434.209777722177    -17917.568359375   
  5434.530851463737    -17655.826171875   
  5434.851925205297    -17274.67578125    
  5435.172998946858    -17543.123046875   
  5435.494072688418    -17852.205078125   
  5435.815146429978    -17666.072265625   
  5436.136220171538    -17475.716796875   
  5436.4572939130985   -17655.287109375   
  5436.778367654659    -17666.568359375   
  5437.099441396219    -17684.59765625    
  5437.420515137779    -17230.876953125   
  5437.741588879339    -17369.24609375    
  5438.0626626209      -17513.5078125     
  5438.38373636246     -17571.779296875   
  5438.70481010402     -17348.158203125   
  5439.02588384558     -17352.330078125   
  5439.34695758714     -17140.4765625     
  5439.668031328701    -17442.328125      
  5439.989105070261    -17359.962890625   
  5440.310178811821    -17541.80078125    
  5440.631252553381    -17668.251953125   
  5440.9523262949415   -17314.171875      
  5441.273400036502    -17239.466796875   
  5441.594473778062    -16753.5234375     
  5441.915547519622    -16837.984375      
  5442.236621261182    -17134.6875        
  5442.557695002743    -17218.79296875    
  5442.878768744303    -17163.126953125   
  5443.199842485863    -17098.56640625    
  5443.520916227423    -17016.52734375    
  5443.841989968983    -17003.025390625   
  5444.163063710544    -17055.208984375   
  5444.484137452104    -16564.498046875   
  5444.805211193664    -16726.728515625   
  5445.126284935224    -16607.658203125   
  5445.4473586767845   -16520.21484375    
  5445.768432418345    -16288.0322265625  
  5446.089506159905    -16373.87109375    
  5446.410579901465    -16102.173828125   
  5446.731653643025    -15867.197265625   
  5447.0527273845855   -15987.31640625    
  5447.373801126146    -16016.939453125   
  5447.694874867706    -16554.14453125    
  5448.015948609266    -16293.3427734375  
  5448.337022350826    -15816.4609375     
  5448.658096092387    -15985.5576171875  
  5448.979169833947    -15702.2705078125  
  5449.300243575507    -15911.1064453125  
  5449.621317317067    -15891.458984375   
  5449.942391058627    -15897.4775390625  
  5450.263464800188    -15804.51953125    
  5450.584538541748    -15927.439453125   
  5450.905612283308    -15472.7490234375  
  5451.226686024868    -15279.53515625    
  5451.5477597664285   -15665.1826171875  
  5451.868833507989    -14989.5244140625  
  5452.189907249549    -14732.67578125    
  5452.510980991109    -14824.1142578125  
  5452.832054732669    -15435.2783203125  
  5453.1531284742305   -15175.8037109375  
  5453.474202215791    -15086.53515625    
  5453.795275957351    -14634.4228515625  
  5454.116349698911    -14494.904296875   
  5454.437423440471    -14459.494140625   
  5454.7584971820315   -14032.5234375     
  5455.079570923592    -13475.9580078125  
  5455.400644665152    -13421.1025390625  
  5455.721718406712    -13331.009765625   
  5456.042792148272    -13532.3798828125  
  5456.363865889833    -12808.9677734375  
  5456.684939631393    -12310.0234375     
  5457.006013372953    -11885.4892578125  
  5457.327087114513    -11559.6630859375  
  5457.648160856073    -9964.951171875    
  5457.969234597634    -7999.38134765625  
  5458.290308339194    -5721.9658203125   
  5458.611382080754    -150.81106567382812
  5458.932455822314    34008.01953125     
  5459.2535295638745   167815.390625      
  5459.574603305435    363630.40625       
  5459.895677046995    599757.4375        
  5460.216750788555    779647.3125        
  5460.537824530115    955819.625         
  5460.858898271676    958448.1875        
  5461.179972013236    853937.6875        
  5461.501045754796    628227.375         
  5461.822119496356    415930.78125       
  5462.143193237916    185796.328125      
  5462.464266979477    56231.2578125      
  5462.785340721037    11461.8642578125   
  5463.106414462597    978.8321533203125  
  5463.427488204157    -2490.097900390625 
  5463.7485619457175   -5254.3095703125   
  5464.069635687278    -7109.76806640625  
  5464.390709428838    -8436.0732421875   
  5464.711783170398    -9185.734375       
  5465.032856911958    -10392.17578125    
  5465.353930653519    -11397.6455078125  
  5465.675004395079    -11696.52734375    
  5465.996078136639    -12396.7646484375  
  5466.317151878199    -13116.0546875     
  5466.638225619759    -13196.173828125   
  5466.95929936132     -13694.4208984375  
  5467.28037310288     -14103.96484375    
  5467.60144684444     -14094.205078125   
  5467.922520586       -14395.9287109375  
  5468.2435943275605   -14526.1513671875  
  5468.564668069121    -14365.7763671875  
  5468.885741810681    -14776.802734375   
  5469.206815552241    -15140.5390625     
  5469.527889293801    -14544.7041015625  
  5469.8489630353615   -14828.4951171875  
  5470.170036776922    -15112.8798828125  
  5470.491110518482    -15353.46484375    
  5470.812184260042    -15189.9404296875  
  5471.133258001602    -14780.658203125   
  5471.454331743163    -15412.345703125   
  5471.775405484723    -15404.3984375     
  5472.096479226283    -15094.8876953125  
  5472.417552967843    -15358.2685546875  
  5472.738626709403    -15405.11328125    
  5473.059700450964    -15137.0830078125  
  5473.380774192524    -15426.189453125   
  5473.701847934084    -15376.6494140625  
  5474.022921675644    -15035.150390625   
  5474.3439954172045   -15319.0234375     
  5474.665069158765    -15346.3466796875  
  5474.986142900325    -15066.1611328125  
  5475.307216641885    -14747.916015625   
  5475.628290383445    -14178.2587890625  
  5475.949364125006    -13626.7353515625  
  5476.270437866566    -13726.3193359375  
  5476.591511608126    -14369.921875      
  5476.912585349686    -14578.533203125   
  5477.233659091246    -14588.3994140625  
  5477.554732832807    -15172.5400390625  
  5477.875806574367    -15644.7900390625  
  5478.196880315927    -15813.3798828125  
  5478.517954057487    -15596.267578125   
  5478.8390277990475   -15572.8310546875  
  5479.160101540608    -15775.9267578125  
  5479.481175282168    -15628.099609375   
  5479.802249023728    -15548.62109375    
  5480.123322765288    -15846.5703125     
  5480.4443965068485   -15801.1982421875  
  5480.765470248409    -15696.0419921875  
  5481.086543989969    -16015.349609375   
  5481.407617731529    -16119.2265625     
  5481.728691473089    -15814.8798828125  
  5482.04976521465     -15511.7900390625  
  5482.37083895621     -15610.1455078125  
  5482.69191269777     -15478.7705078125  
  5483.01298643933     -15572.6708984375  
  5483.33406018089     -15912.8671875     
  5483.655133922451    -15842.1787109375  
  5483.976207664011    -15668.390625      
  5484.297281405571    -15718.255859375   
  5484.618355147131    -15874.728515625   
  5484.9394288886915   -16234.7822265625  
  5485.260502630252    -16261.36328125    
  5485.581576371812    -16050.703125      
  5485.902650113372    -15738.40234375    
  5486.223723854932    -15746.240234375   
  5486.544797596493    -15915.41796875    
  5486.865871338053    -15727.4755859375  
  5487.186945079613    -15636.529296875   
  5487.508018821173    -15842.3740234375  
  5487.829092562733    -15966.69921875    
  5488.150166304294    -15866.22265625    
  5488.471240045854    -15917.611328125   
  5488.792313787414    -16043.623046875   
  5489.113387528974    -15883.869140625   
  5489.4344612705345   -15638.6875        
  5489.755535012095    -15669.669921875   
  5490.076608753655    -15852.9287109375  
  5490.397682495215    -15694.6875        
  5490.718756236775    -15865.138671875   
  5491.039829978336    -15857.974609375   
  5491.360903719896    -15714.9677734375  
  5491.681977461456    -15905.0263671875  
  5492.003051203017    -15924.2158203125  
  5492.324124944577    -15697.6650390625  
  5492.6451986861375   -15840.482421875   
  5492.966272427698    -16104.6103515625  
  5493.287346169258    -16135.1591796875  
  5493.608419910818    -15906.8544921875  
  5493.929493652378    -15805.513671875   
  5494.250567393939    -15886.72265625    
  5494.571641135499    -16128.330078125   
  5494.892714877059    -16073.2939453125  
  5495.213788618619    -15937.2255859375  
  5495.534862360179    -15816.3017578125  
  5495.85593610174     -15899.4326171875  
  5496.1770098433      -16017.62109375    
  5496.49808358486     -15942.8115234375  
  5496.81915732642     -15622.41015625    
  5497.1402310679805   -15701.259765625   
  5497.461304809541    -16046.6982421875  
  5497.782378551101    -16013.576171875   
  5498.103452292661    -16057.2919921875  
  5498.424526034221    -15903.4951171875  
