# wave                 flux                
  4063.3976941449      -6548.42626953125   
  4063.719893717611    -6818.5634765625    
  4064.042093290321    -6572.83642578125   
  4064.364292863032    -5984.6875          
  4064.6864924357424   -6731.0244140625    
  4065.008692008453    -6283.4873046875    
  4065.3308915811635   -5827.45263671875   
  4065.6530911538744   -5464.56591796875   
  4065.9752907265847   -5518.984375        
  4066.2974902992955   -6135.46728515625   
  4066.619689872006    -6572.86181640625   
  4066.9418894447167   -5829.466796875     
  4067.264089017427    -6468.00390625      
  4067.586288590138    -6339.57177734375   
  4067.9084881628482   -5662.20654296875   
  4068.230687735559    -5681.51171875      
  4068.5528873082694   -5739.328125        
  4068.8750868809802   -6512.2109375       
  4069.1972864536906   -5318.39013671875   
  4069.5194860264014   -5531.1494140625    
  4069.8416855991118   -4856.9619140625    
  4070.1638851718226   -5346.0009765625    
  4070.486084744533    -5419.837890625     
  4070.8082843172438   -6434.01123046875   
  4071.130483889954    -5666.93017578125   
  4071.452683462665    -4798.1015625       
  4071.7748830353753   -4979.48681640625   
  4072.097082608086    -5224.86767578125   
  4072.4192821807965   -5612.80712890625   
  4072.7414817535073   -7537.7822265625    
  4073.0636813262176   -7084.58203125      
  4073.3858808989285   -6370.79931640625   
  4073.708080471639    -6252.8701171875    
  4074.0302800443496   -6160.11083984375   
  4074.35247961706     -5835.3193359375    
  4074.674679189771    -5648.52392578125   
  4074.996878762481    -5328.28955078125   
  4075.319078335192    -5624.8388671875    
  4075.6412779079023   -5989.482421875     
  4075.963477480613    -5883.8701171875    
  4076.2856770533235   -6408.361328125     
  4076.6078766260343   -6203.8935546875    
  4076.9300761987447   -6318.32861328125   
  4077.2522757714555   -6018.74365234375   
  4077.574475344166    -6278.79248046875   
  4077.8966749168767   -6665.1630859375    
  4078.218874489587    -5983.794921875     
  4078.541074062298    -6646.7919921875    
  4078.863273635008    -5819.6416015625    
  4079.185473207719    -4828.6611328125    
  4079.5076727804294   -5947.4140625       
  4079.82987235314     -6121.171875        
  4080.1520719258506   -5777.4921875       
  4080.4742714985614   -6174.73681640625   
  4080.7964710712718   -5908.1435546875    
  4081.1186706439826   -6357.3037109375    
  4081.440870216693    -6102.33837890625   
  4081.7630697894037   -5290.77587890625   
  4082.085269362114    -6152.60888671875   
  4082.407468934825    -5521.9228515625    
  4082.7296685075353   -4782.6943359375    
  4083.051868080246    -6148.3251953125    
  4083.3740676529565   -5492.4208984375    
  4083.6962672256673   -4789.65234375      
  4084.0184667983776   -4899.9248046875    
  4084.3406663710884   -5161.21044921875   
  4084.662865943799    -6228.20263671875   
  4084.9850655165096   -5729.74462890625   
  4085.30726508922     -4562.1435546875    
  4085.629464661931    -3861.2705078125    
  4085.951664234641    -5442.91650390625   
  4086.273863807352    -4956.9990234375    
  4086.5960633800623   -6031.38916015625   
  4086.918262952773    -5307.36328125      
  4087.2404625254835   -6391.1396484375    
  4087.5626620981943   -5855.24853515625   
  4087.8848616709047   -5393.40380859375   
  4088.2070612436155   -4365.8251953125    
  4088.529260816326    -5049.07421875      
  4088.8514603890367   -5743.75390625      
  4089.173659961747    -5335.48974609375   
  4089.495859534458    -4937.20556640625   
  4089.818059107168    -5381.28125         
  4090.140258679879    -5729.728515625     
  4090.4624582525894   -4277.0400390625    
  4090.7846578253      -4240.77783203125   
  4091.1068573980106   -5351.12744140625   
  4091.4290569707214   -5205.14404296875   
  4091.7512565434317   -4495.8037109375    
  4092.0734561161426   -4544.82080078125   
  4092.395655688853    -5442.490234375     
  4092.7178552615637   -5746.80322265625   
  4093.040054834274    -4892.220703125     
  4093.362254406985    -4405.322265625     
  4093.6844539796953   -5118.29736328125   
  4094.006653552406    -6342.99658203125   
  4094.3288531251164   -4874.97412109375   
  4094.6510526978273   -5222.830078125     
  4094.9732522705376   -5662.01611328125   
  4095.2954518432484   -4733.2900390625    
  4095.617651415959    -4591.2998046875    
  4095.9398509886696   -5319.1748046875    
  4096.26205056138     -5515.3427734375    
  4096.584250134091    -5372.84228515625   
  4096.906449706801    -4530.037109375     
  4097.228649279512    -4143.69677734375   
  4097.550848852223    -4290.134765625     
  4097.873048424934    -4277.8740234375    
  4098.1952479976435   -4248.17626953125   
  4098.517447570354    -5599.5361328125    
  4098.839647143065    -5617.8662109375    
  4099.161846715776    -4621.857421875     
  4099.484046288486    -4325.96484375      
  4099.806245861197    -3920.726806640625  
  4100.1284454339075   -4458.19873046875   
  4100.450645006618    -4630.60302734375   
  4100.772844579328    -5316.17724609375   
  4101.095044152039    -5211.56689453125   
  4101.41724372475     -3421.75537109375   
  4101.739443297461    -2564.59130859375   
  4102.0616428701705   -4643.39306640625   
  4102.383842442881    -4569.8984375       
  4102.706042015592    -4072.739501953125  
  4103.028241588303    -5518.9296875       
  4103.350441161013    -5255.19384765625   
  4103.672640733724    -5011.86962890625   
  4103.9948403064345   -3842.82080078125   
  4104.317039879145    -4004.868896484375  
  4104.639239451855    -4668.94677734375   
  4104.961439024566    -4436.2490234375    
  4105.283638597277    -4702.3427734375    
  4105.605838169988    -4749.63134765625   
  4105.928037742698    -4328.80224609375   
  4106.250237315408    -4875.201171875     
  4106.572436888119    -5074.9462890625    
  4106.89463646083     -6043.79150390625   
  4107.21683603354     -4465.67333984375   
  4107.539035606251    -3816.01513671875   
  4107.861235178962    -4594.603515625     
  4108.183434751672    -5657.0224609375    
  4108.505634324382    -3565.05029296875   
  4108.827833897093    -3271.784423828125  
  4109.150033469804    -4365.2900390625    
  4109.472233042515    -3750.3818359375    
  4109.794432615225    -2755.263671875     
  4110.1166321879355   -4406.4453125       
  4110.438831760646    -4463.79296875      
  4110.761031333357    -4532.0087890625    
  4111.083230906067    -3272.39794921875   
  4111.405430478778    -3323.60986328125   
  4111.727630051489    -4409.095703125     
  4112.049829624199    -4052.63330078125   
  4112.372029196909    -3129.8212890625    
  4112.69422876962     -4239.9423828125    
  4113.016428342331    -3925.98974609375   
  4113.338627915042    -2644.13916015625   
  4113.660827487752    -3995.657470703125  
  4113.9830270604625   -5787.3359375       
  4114.305226633173    -4521.83447265625   
  4114.627426205884    -4122.80224609375   
  4114.949625778594    -4754.82080078125   
  4115.271825351305    -4716.40380859375   
  4115.594024924016    -3390.599365234375  
  4115.9162244967265   -3948.86767578125   
  4116.238424069436    -4511.50390625      
  4116.560623642147    -5146.91064453125   
  4116.882823214858    -3646.125244140625  
