 816.0	 -0.19
 818.0	  0.71
 820.0	 -0.14
 822.0	  0.34
 824.0	 -0.19
 826.0	 -0.43
 828.0	  1.06
 830.0	  0.60
 832.0	  0.69
 834.0	  0.77
 836.0	  0.95
 838.0	  1.50
 840.0	  3.56
 842.0	  5.65
 844.0	  9.23
 846.0	 13.95
 848.0	 21.68
 850.0	 31.98
 852.0	 43.04
 854.0	 56.62
 856.0	 68.06
 858.0	 78.31
 860.0	 86.60
 862.0	 91.89
 864.0	 95.50
 866.0	 97.22
 868.0	 98.13
 870.0	 98.25
 872.0	 98.41
 874.0	 98.49
 876.0	 98.49
 878.0	 98.60
 880.0	 98.43
 882.0	 98.36
 884.0	 98.23
 886.0	 98.70
 888.0	 98.93
 890.0	 98.80
 892.0	 98.92
 894.0	 98.42
 896.0	 98.30
 898.0	 98.55
 900.0	 98.40
 902.0	 98.58
 904.0	 98.16
 906.0	 97.74
 908.0	 97.96
 910.0	 97.92
 912.0	 98.08
 914.0	 98.07
 916.0	 97.46
 918.0	 96.67
 920.0	 95.21
 922.0	 92.48
 924.0	 88.35
 926.0	 81.74
 928.0	 73.11
 930.0	 62.75
 932.0	 50.90
 934.0	 39.18
 936.0	 28.27
 938.0	 18.91
 940.0	 11.92
 942.0	  7.27
 944.0	  4.30
 946.0	  2.62
 948.0	  1.73
 950.0	  0.90
 952.0	  0.50
 954.0	  0.28
 956.0	  0.03
 958.0	  0.13
 960.0	 -0.06
 962.0	 -0.01
 964.0	  0.10
 966.0	  0.09
