 900.0	  0.21
 898.0	  0.31
 896.0	  0.48
 894.0	 -0.50
 892.0	 -0.47
 890.0	  0.33
 888.0	  0.26
 886.0	  0.07
 884.0	 -0.61
 882.0	  0.90
 880.0	  0.10
 878.0	  0.22
 876.0	  0.88
 874.0	 -0.72
 872.0	  0.92
 870.0	 -1.10
 868.0	  2.05
 866.0	  0.72
 864.0	  3.34
 862.0	  4.05
 860.0	  5.17
 858.0	  7.02
 856.0	 11.51
 854.0	 14.48
 852.0	 19.53
 850.0	 25.76
 848.0	 30.57
 846.0	 38.54
 844.0	 49.16
 842.0	 63.28
 840.0	 75.35
 838.0	 84.48
 836.0	 90.01
 834.0	 92.92
 832.0	 94.16
 830.0	 95.04
 828.0	 95.42
 826.0	 94.70
 824.0	 94.02
 822.0	 94.35
 820.0	 93.84
 818.0	 93.80
 816.0	 94.08
 814.0	 94.03
 812.0	 94.64
 810.0	 94.91
 808.0	 95.02
 806.0	 95.02
 804.0	 94.64
 802.0	 94.27
 800.0	 94.69
 798.0	 95.02
 796.0	 95.07
 794.0	 94.98
 792.0	 94.49
 790.0	 94.39
 788.0	 94.97
 786.0	 95.61
 784.0	 95.40
 782.0	 94.64
 780.0	 94.52
 778.0	 94.31
 776.0	 93.84
 774.0	 93.54
 772.0	 93.10
 770.0	 93.08
 768.0	 93.19
 766.0	 93.29
 764.0	 93.60
 762.0	 93.55
 760.0	 93.84
 758.0	 94.32
 756.0	 94.62
 754.0	 94.58
 752.0	 94.38
 750.0	 94.43
 748.0	 94.28
 746.0	 94.19
 744.0	 94.92
 742.0	 95.09
 740.0	 94.96
 738.0	 95.01
 736.0	 94.70
 734.0	 94.78
 732.0	 94.86
 730.0	 95.01
 728.0	 94.92
 726.0	 94.84
 724.0	 94.76
 722.0	 94.64
 720.0	 94.90
 718.0	 95.07
 716.0	 94.92
 714.0	 94.48
 712.0	 94.00
 710.0	 93.59
 708.0	 92.94
 706.0	 91.08
 704.0	 87.45
 702.0	 81.09
 700.0	 71.28
 698.0	 58.62
 696.0	 44.45
 694.0	 31.46
 692.0	 21.02
 690.0	 13.40
 688.0	  8.36
 686.0	  5.14
 684.0	  3.12
 682.0	  1.88
 680.0	  1.14
 678.0	  0.72
 676.0	  0.44
 674.0	  0.28
 672.0	  0.19
 670.0	  0.14
 668.0	  0.11
 666.0	  0.06
 664.0	  0.03
 662.0	 -0.02
 660.0	 -0.02
 658.0	  0.00
 656.0	 -0.01
 654.0	 -0.01
 652.0	 -0.02
 650.0	 -0.08
 648.0	 -0.06
 646.0	 -0.03
 644.0	 -0.06
 642.0	 -0.05
 640.0	 -0.03
