 900.0	  1.39
 902.0	  0.60
 904.0	  0.05
 906.0	  0.55
 908.0	  0.27
 910.0	  0.92
 912.0	  0.73
 914.0	  1.39
 916.0	  2.14
 918.0	  2.60
 920.0	  4.74
 922.0	  6.71
 924.0	  9.79
 926.0	 15.67
 928.0	 22.40
 930.0	 30.22
 932.0	 40.48
 934.0	 50.64
 936.0	 61.89
 938.0	 72.53
 940.0	 80.88
 942.0	 87.26
 944.0	 91.53
 946.0	 94.73
 948.0	 96.05
 950.0	 97.01
 952.0	 96.66
 954.0	 95.80
 956.0	 96.47
 958.0	 96.41
 960.0	 96.89
 962.0	 97.37
 964.0	 96.87
 966.0	 96.88
 968.0	 96.81
 970.0	 96.79
 972.0	 96.49
 974.0	 96.56
 976.0	 96.07
 978.0	 95.97
 980.0	 95.71
 982.0	 95.64
 984.0	 96.19
 986.0	 96.43
 988.0	 96.73
 990.0	 97.03
 992.0	 96.94
 994.0	 96.86
 996.0	 96.99
 998.0	 96.78
1000.0	 97.05
1002.0	 96.89
1004.0	 96.69
1006.0	 96.57
1008.0	 96.57
1010.0	 97.05
1012.0	 97.44
1014.0	 97.39
1016.0	 97.25
1018.0	 96.88
1020.0	 96.63
1022.0	 96.89
1024.0	 96.83
1026.0	 96.95
1028.0	 96.95
1030.0	 96.81
1032.0	 96.66
1034.0	 96.42
1036.0	 96.39
1038.0	 96.35
1040.0	 96.38
1042.0	 96.59
1044.0	 96.52
1046.0	 96.40
1048.0	 96.44
1050.0	 96.12
1052.0	 96.11
1054.0	 95.84
1056.0	 95.04
1058.0	 94.06
1060.0	 92.17
1062.0	 89.00
1064.0	 84.56
1066.0	 78.02
1068.0	 69.80
1070.0	 60.36
1072.0	 50.25
1074.0	 40.33
1076.0	 31.00
1078.0	 22.99
1080.0	 16.19
1082.0	 11.02
1084.0	  7.23
1086.0	  4.57
1088.0	  2.95
1090.0	  1.70
1092.0	  1.14
1094.0	  0.85
1096.0	  0.56
1098.0	  0.59
1100.0	  0.52
